	parameter_value	mae_joints	std_joints	mre_param	std_param
0	2	0.0399859713864268	0.034480660685839	-6.193905300539875e-05	0.039953979139465044
1	3	0.032659747843624874	0.02574219420881294	0.00895782818057523	0.027774129980542944
2	4	0.02720924299901116	0.026330447886240938	0.0008607258862299092	0.03513676105902387
3	5	0.0399859713864268	0.034480660685839	-6.193905300539875e-05	0.039953979139465044
4	6	0.02040582107496908	0.020238700037417585	0.0019179766842495186	0.03151210561267549
