stance	swing	score	total_time	ME_st	max_st	stance_period	step_length	speed	moment_peaks	moment_mean
80	40	61.866	6.56	2.7003279869883574	21.758043622203253	55.142646409765504	0.5583499999999999	0.8589975609756099	1.063857698615217	-0.14661018910373202
80	50	58.632	7.02	2.8906148853852045	20.722164576496485	62.42043638181356	0.4424520000000001	0.8330866096866097	1.285712434643436	-0.2638507125254013
80	60	64.935	6.18	2.5851458763115325	20.30871823153008	59.303482587064686	0.6109566666666667	0.9193184466019418	1.423620540121281	-0.19744596464066777
80	70	26.727	11.41	2.8293835912094067	20.650105584462196	60.76791852911254	0.5919714285714284	0.8453951796669588	1.349623263504363	-0.2343054734947907
80	80	56.414	7.31	2.9205831830971203	20.411697845908257	61.99364897537542	0.6084899999999998	0.877828727770178	1.457255332297385	-0.22603699105636577
80	90	58.797	6.97	4.682780075561821	20.389763111651337	58.101343101343105	0.50025	0.8843216642754663	1.092712579946766	-0.06862211293110854
85	40	22.46	12.03	1.9800243033928346	19.709445303380036	63.24335411514492	0.5034855555555555	0.8329882793017457	1.3412228047511732	-0.2742803157006671
85	50	14.473	13.12	3.293285500820078	21.08448876219234	59.36402396765314	0.5852944444444443	0.8541834603658537	1.316586853003276	-0.2065480145865537
85	60	66.131	6.0	5.138223863575517	22.003947558576822	55.480006510563726	0.5249950000000003	0.9046291666666666	1.3229286221838477	-0.20225836252177865
85	70	38.302	9.83	1.7636283403507953	19.071690892686732	61.42738729880913	0.61085	0.8844036622583926	1.4696815690830531	-0.21560662685441268
85	80	46.655	8.67	2.9732954929391138	19.400316565661967	57.40601224589975	0.5619083333333332	0.8943732410611303	1.5031386392330968	-0.11541351961307722
85	90	58.256	7.06	1.033007183352833	17.837035599115225	61.38066761588355	0.588625	0.8983284702549575	1.5233042479438463	-0.16431899122452154
90	40	43.897	9.06	3.8416199709799574	20.916248300019102	56.808968341614225	0.6023650000000003	0.9194998896247241	1.5531816735537745	-0.2034110538259022
90	50	13.925	13.21	0.8811267507389342	17.90708685154241	61.82287463646805	0.6177433333333338	0.918272218016654	1.5775545505464013	-0.18976293611839912
90	60	21.321	12.18	1.1675524586249946	17.506348915099792	61.245958740898814	0.6547062500000002	0.9504312807881773	1.6772655965929004	-0.12941205599662342
90	70	36.116	10.17	0.6185318285855317	16.672479781918657	59.891391786752244	0.6433842857142855	0.9875395280235988	1.6803957658525426	-0.11645936865223028
90	80	0.891	14.32	1.567509044212768	18.13532458923277	59.23839318103598	0.6631688888888889	0.9284336592178771	1.666167050812484	-0.13494247907236234
90	90	0.828	14.97	2.364363791578757	18.750777231633958	59.14439230598048	0.570999090909091	0.8787314629258517	1.5286336539925567	-0.1634137957299684
95	40	28.617	11.16	2.1195253435662256	19.57922836676952	59.7095455895416	0.5552937499999999	0.88121541218638	1.475588204487219	-0.24692237362891906
95	50	0.938	14.34	0.6246232024239013	17.116350185806503	60.84331814615619	0.6405510000000002	0.946536541143654	1.6826527471413113	-0.12517875982012616
95	60	33.268	10.5	1.1857303120225637	17.347777388556427	61.24909851720031	0.6152657142857144	0.9489137142857144	1.6467193073068978	-0.10283983685096043
95	70	0.614	15.0	1.008545630464786	16.00329133777146	58.5415261174998	0.7774980000000001	1.1184966666666667	1.7566703206917444	0.031064215833485842
95	80	0.591	15.0	-0.1271200493122926	14.965213566525877	58.33702584209467	0.7803439999999997	1.1300629999999998	1.7695264277037037	0.005938803493755973
95	90	0.592	15.0	0.1739619153590617	15.204251558654454	58.12441918953558	0.7787619999999997	1.1270583333333333	1.7651109731324472	-0.0019900905287407733
