stance	swing	score	total_time	ME_st	max_st	stance_period	step_length	speed	moment_peaks	moment_mean
100	100	0.6	15.0	0.0	14.913869386109715	58.35935920147047	0.8085979999999999	1.1585202	1.7634207196236293	0.0
100	150	0.586	14.7	0.10526453375429057	15.045592383210291	58.70087711397639	0.786607	1.138171768707483	1.7581825623032656	-0.010493109249820165
100	250	0.59	15.0	0.05818866988283844	14.976207194219947	58.53297894483762	0.8040710000000001	1.1538056666666667	1.7620003353381193	-0.021554742249691894
100	350	0.588	15.0	0.11419411607127827	15.099468718771046	58.900606497103546	0.7944949999999998	1.1339952	1.7702356530571284	-0.016147897605275796
100	450	8.182	14.43	-6.111412733384726	9.957512303275408	58.828921861920435	0.710031111111111	0.9379029799029799	1.4318678883030427	0.11807482380226375
150	100	0.702	15.0	-1.03741746351462	14.81916048571351	57.97153240802543	0.774307777777778	1.0006144666666665	1.7421008096516566	0.13339364285480215
150	150	0.868	15.0	-3.1590068138172835	11.96840079092874	57.306627816295446	0.7929577777777781	1.0222647333333332	1.6740644059836687	0.15372682074131405
150	250	0.954	15.0	-3.53469712440042	11.50706335940076	57.92591954557636	0.7703600000000002	0.9801320666666666	1.6754074303595048	0.167962603363649
150	350	0.869	15.0	-3.422078458180154	16.9385968507933	55.58152783656139	0.8303777777777779	0.9966126666666667	-0.2383319163732472	0.47662662974703474
150	450	47.837	8.28	-3.2769073463492813	15.206686629283764	53.025682890954656	0.7215140000000001	0.975311352657005	-0.16384679184083986	0.4912232118591131
200	100	1.322	15.0	-5.456703980263131	8.985639805257186	57.61735036600484	0.7007787500000002	0.8377138	1.5317033852371995	0.27996834646900326
200	150	1.044	15.0	-3.39530681539752	12.015661623915676	57.44327633846634	0.7745244444444445	0.9233743333333333	1.4683418477961325	0.31943643781248676
200	250	5.634	15.0	-6.015698118252491	9.29686229446089	59.52808891279436	0.7250622222222225	0.9319422666666667	1.3579959359858234	0.3083211729003006
200	350	8.265	15.0	-7.01816900822076	9.085146204048694	61.876197837129695	0.6441824999999999	0.7606574	1.1073616769254222	0.3821720011258598
200	450	94.798	1.91							
250	100	1.251	15.0	-4.806811882567274	11.078253560413495	58.42352010476605	0.7229633333333334	0.9147195333333333	0.2114749493397539	0.48111977028226693
250	150	1.2	15.0	-4.454754909243446	11.302229924502571	58.00586990633681	0.7067277777777777	0.8979292	0.2568343164701202	0.4448913961817833
250	250	1.367	15.0	-4.515706970702647	11.273673094109897	52.90685995152157	0.6372587499999999	0.8112937333333333	0.15659381937393785	0.4919958224741663
250	350	0.838	15.0	-7.689110419575331	7.788567269001718	56.23138528976801	0.8000733333333333	0.9483426666666667	0.846789607379766	0.43760460207809393
250	450	94.123	2.08							
300	100	0.989	15.0	-5.545617628383725	10.672206556115638	55.53160755623442	0.6940266666666669	0.9049893333333333	0.04914932622870338	0.48920543442988884
300	150	1.126	15.0	-5.842097675703551	11.074056644564159	53.804356996787625	0.6700244444444448	0.9160741333333334	0.014978637084478719	0.49476573545961733
300	250	0.916	15.0	-5.444141228613291	10.264579825325495	52.04711580664567	0.6572	0.9238961333333333	0.27714623215250267	0.4930287421537807
300	350	0.876	15.0	-7.873409894250439	8.17575577672841	56.29531433270948	0.7960162500000001	0.9066842666666666	0.1585101721897201	0.4745053676622297
300	450	96.701	1.23							
350	100	1.026	15.0	-8.589079161754821	6.450822953396863	63.39735411743278	0.7740533333333334	0.8961250666666666	-0.07744536520516324	0.4940355563815564
350	150	7.634	15.0	-9.693033784388213	6.929678978766536	64.46145513460668	0.7279675	0.7739411333333333	-0.0351534418177859	0.485091488920286
350	250	1.063	15.0	-8.34892674827216	9.80639969819036	58.0631470987992	0.7158388888888891	0.8920435333333333	-0.2595449074597618	0.5091743062505112
350	350	0.87	14.72	-9.235788138113394	8.390950539468188	53.29051493252298	0.7255150000000001	0.9090995923913043	0.10389239151713141	0.49929380230258946
350	450	0.992	15.0	-8.91391394098924	10.185020542915897	56.49756499706795	0.74225375	0.8463921333333333	-0.4558412411845851	0.5533316396116297
400	100	1.111	15.0	-11.031804150533947	7.8378334542716095	58.06795255714481	0.7531257142857143	0.7246387999999999	-0.3862841419586704	0.5054108212028618
400	150	94.892	0.94							
400	250	96.218	1.29							
400	350	95.955	1.32							
400	450	96.569	1.22							
