Step	Best	Median	Predicted	Progress
0	87.4912	95.6692	0	0
1	87.6554	95.6357	169.759	-0.00187333
2	89.1517	95.5342	504.279	-0.00935638
3	92.7824	95.3739	839.464	-0.0166593
4	91.5458	95.4787	765.176	-0.0149921
5	92.3601	95.5125	645.226	-0.0122341
6	91.004	95.2279	543.913	-0.00995076
7	89.5907	93.9818	500.392	-0.00897232
8	89.8778	94.442	226.658	-0.00302514
9	86.4211	94.2821	-82.7487	0.00379643
10	90.2501	95.4985	-32.3128	0.00268999
11	85.268	94.9479	-121.493	0.0046427
12	90.3958	94.8691	-32.7997	0.00269725
13	88.1668	95.1431	-65.011	0.00340234
14	86.2185	93.4668	-92.0439	0.00399222
15	86.1462	94.8025	-115.064	0.00450723
16	81.8795	93.6458	-151.848	0.00532351
17	85.5577	93.1442	-126.433	0.00476982
18	86.0215	92.829	-123.321	0.00470119
19	80.6554	92.2338	-130.335	0.00486014
20	84.6623	94.4987	-127.518	0.00479679
21	81.3846	91.6288	-131.823	0.00489778
22	85.7573	95.1494	-124.988	0.00474581
23	84.3452	93.8077	-121.81	0.00467267
24	82.4952	91.6188	-126.426	0.00478177
25	84.1054	92.7458	-119.762	0.00463144
26	78.6257	91.257	-130.06	0.00486683
27	74.1673	91.1041	-139.614	0.00508124
28	84.1499	93.0862	-130.907	0.00489063
29	77.8114	91.1877	-140.497	0.00510719
