	parameter_value	score	total_time	mstep_length	sstep_length	speed	mstance_period	sstance_period
0	150	0.702	15.0	0.774307777777778	0.013924612723741025	1.0006144666666665	57.97153240802543	0.8532113590600013
1	200	1.322	15.0	0.7007787500000002	0.013704083732139556	0.8377138	57.61735036600484	0.7774804016719442
2	250	1.251	15.0	0.7229633333333334	0.1060844512640757	0.9147195333333333	58.42352010476605	8.607083117202956
3	300	0.989	15.0	0.6940266666666669	0.0986752906141034	0.9049893333333333	55.53160755623442	7.49456504141624
4	350	1.026	15.0	0.7740533333333334	0.0493350988422824	0.8961250666666666	63.39735411743278	4.38217216234372
5	400	1.111	15.0	0.7531257142857143	0.023104528224783004	0.7246387999999999	58.06795255714481	3.371605336980112
