Step	Best	Median	Predicted	Progress
0	89.2221	96.2698	0	0
1	88.7164	95.1983	-164.126	0.00570001
2	86.4179	93.4941	-614.628	0.016094
3	84.7352	93.8382	-756.596	0.0194712
4	81.6428	93.948	-912.854	0.0233028
5	83.9942	92.6874	-759.962	0.0198579
6	83.7839	93.1098	-690.94	0.0183389
7	81.0277	91.8046	-532.179	0.0145071
8	81.7199	92.5979	-473.69	0.0131547
9	66.305	90.8045	-534.631	0.0147207
10	78.9657	92.3	-484.181	0.0135398
11	65.9364	91.0665	-537.083	0.0149406
12	68.3214	89.9235	-700.195	0.0194065
13	72.3201	89.7711	-594.521	0.0166439
14	74.5731	90.3864	-574.292	0.0162293
15	69.9209	89.2187	-570.803	0.0162361
16	65.6815	88.4606	-588.943	0.0168035
17	58.2558	88.462	-610.673	0.0175027
18	63.6943	86.3962	-641.739	0.0186085
19	63.2563	86.7405	-638.288	0.0185656
