Step	Best	Median	Predicted	Progress
0	67.9329	95.6236	0	0
1	69.3566	92.4814	781.187	-0.0205267
2	76.9194	89.4838	2323.55	-0.0601726
3	66.4259	89.5282	784.034	-0.0201138
4	12.136	89.3137	-1439.71	0.0462582
5	76.1913	88.743	366.54	-0.00842084
6	71.0928	86.2362	289.566	-0.00624204
7	42.7432	84.8325	-212.236	0.00830625
8	65.8242	84.3268	-211.88	0.00822823
9	50.4022	82.1543	-429.295	0.0150986
10	22.508	79.2092	-971.794	0.0340053
11	57.6305	77.9492	-948.179	0.0333221
12	39.2936	77.888	-1289.28	0.0466763
13	36.8337	78.8152	-1375.42	0.0518924
14	56.8364	80.8269	-1106.3	0.0420805
15	22.7508	75.5565	-1307.73	0.051765
16	22.8916	73.2897	-1561.24	0.0629987
17	22.165	70.7436	-1682.26	0.0688973
18	21.9425	64.7877	-1526	0.0657802
19	21.6856	66.6052	-1465.41	0.0650059
20	20.9845	63.9236	-1422.18	0.0653615
21	20.7533	58.7893	-1381.04	0.0646107
22	21.4494	65.2766	-1353.84	0.0648091
23	16.5435	30.0991	-1294.52	0.0633711
24	20.0522	23.6977	-1173.88	0.0580109
25	21.0065	23.4931	-1055.09	0.0547479
26	20.4645	23.023	-880.901	0.0488272
27	18.3822	45.3208	-786.81	0.0444479
28	20.3489	22.8247	-615.335	0.036894
29	20.7769	73.7523	-467.713	0.030315
