Step	Best	Median	Predicted	Progress
0	88.6649	97.1328	0	0
1	85.1077	96.5975	-1693.52	0.0417971
2	89.3068	96.6209	249.764	-0.00359987
3	89.1474	95.7534	209.703	-0.0027056
4	80.3255	95.5718	89.0353	-8.28904e-06
5	76.8633	95.0636	-840.756	0.0222545
6	83.2951	95.9582	-445.197	0.0124166
7	80.6978	95.3183	-580.211	0.0157168
8	73.8389	95.0849	-730.412	0.0198056
9	75.0291	94.5239	-761.537	0.0206357
10	80.0126	95.3503	-640.625	0.0176978
11	81.6858	95.4076	-492.937	0.0139079
12	78.9354	93.7808	-390.861	0.0113418
13	77.8055	93.6802	-311.335	0.00944238
14	68.3601	93.7323	-392.734	0.0114719
15	20.3289	91.2346	-497.49	0.0143058
16	45.1104	89.4276	-580.488	0.0167024
17	70.9333	89.8142	-499.766	0.0145134
18	74.26	89.4608	-459.019	0.0134482
19	70.4837	89.9929	-420.986	0.0125239
20	68.2554	85.938	-401.754	0.0121496
21	65.7461	90.6886	-432.133	0.0129531
22	72.0328	89.931	-395.144	0.0120717
23	65.083	89.4544	-433.929	0.013108
24	62.6669	85.5996	-453.239	0.0136546
25	62.1253	94.7479	-466.372	0.0140917
26	67.1017	88.7091	-455.308	0.0138436
27	70.4567	88.2084	-437.921	0.0134609
28	66.5615	85.5549	-409.668	0.0127813
29	71.62	89.1221	-372.574	0.0117602
30	56.2529	85.3479	-408.463	0.0128567
31	67.3541	85.5088	-359.686	0.0115
32	66.1295	89.8273	-341.5	0.0110075
33	59.9608	88.5199	-335.817	0.0108894
34	68.8746	87.4615	-320.039	0.0104576
35	69.7139	87.3074	-300.443	0.00991069
36	72.2468	86.9584	-278.459	0.00930202
37	67.5742	89.5859	-262.007	0.00884077
38	61.3208	84.1387	-252.979	0.00861687
39	68.1178	85.5525	-227.377	0.00792088
40	69.6724	85.957	-206.817	0.00739042
41	65.2464	84.7997	-188.1	0.00691596
42	64.2945	84.6841	-171.832	0.00648938
43	61.3094	84.2166	-172.337	0.00651619
44	62.5369	86.6649	-162.731	0.00625157
45	45.9557	84.5437	-173.275	0.00655893
46	60.1749	84.3808	-166.447	0.0063786
47	65.3807	82.3075	-164.176	0.0063192
48	73.1176	84.7487	-151.66	0.00599231
49	60.1587	79.4625	-144.859	0.00582554
50	68.0701	82.6771	-140.484	0.00569909
51	57.6758	84.9104	-137.88	0.00565353
52	68.4613	79.6216	-130.54	0.00544078
53	63.8469	80.4917	-125.209	0.00530077
54	62.2828	88.4757	-116.062	0.0050477
55	50.3831	82.9458	-125.951	0.00532901
56	61.8095	84.8549	-118.5	0.00511847
57	59.3095	80.0499	-122.409	0.0052303
58	64.3484	84.2871	-115.987	0.00506005
59	57.0911	78.6623	-109.508	0.00490374
60	64.9664	84.2818	-104.056	0.00475026
61	64.6395	83.1584	-94.3854	0.00446644
62	62.5543	84.4838	-90.3503	0.00435176
63	52.6324	80.4338	-95.0021	0.00448648
64	42.0098	80.1059	-100.665	0.00466144
65	61.9937	80.1343	-95.6188	0.0045067
66	48.4195	78.4233	-101.301	0.00468327
67	59.4488	80.7334	-100.357	0.00464615
68	61.7892	83.1513	-93.9108	0.0044563
69	60.8646	78.8332	-90.5865	0.00436733
70	63.2728	77.8834	-86.6154	0.00425406
71	55.5722	77.9121	-90.7314	0.00437392
72	54.1594	84.702	-93.3549	0.00444855
73	43.8746	75.4296	-97.8944	0.00458383
74	62.3953	78.1045	-93.9558	0.00446843
75	55.4686	79.8099	-96.1972	0.0045369
76	58.0377	78.5992	-93.5728	0.00446228
77	61.1459	79.4191	-89.3976	0.00434406
78	36.2369	77.0108	-94.1699	0.00448228
79	65.1858	78.4981	-89.9785	0.00436301
80	54.1235	77.6151	-92.1229	0.00442664
81	56.9955	78.2124	-87.44	0.00429575
82	58.2858	78.9055	-85.3719	0.00423208
83	54.7353	74.0285	-85.2391	0.00422871
84	51.947	77.3043	-86.6653	0.00427082
85	60.419	78.189	-80.2477	0.00409204
86	49.8483	76.3961	-86.103	0.00425706
87	51.1135	77.3443	-87.0291	0.00429206
88	49.8224	76.3718	-88.2954	0.00433718
89	45.9703	79.2784	-90.2307	0.00439403
90	59.9233	76.1129	-88.8597	0.00435608
91	41.3017	74.1065	-90.801	0.00441342
92	58.5885	75.9488	-90.0173	0.00439158
93	50.1436	75.0588	-90.3121	0.00440341
94	55.7216	75.4203	-88.4399	0.00434776
95	44.1463	69.6476	-90.8785	0.00442288
96	57.0937	75.2416	-88.9987	0.00436674
97	48.089	75.3729	-91.0762	0.00443154
98	57.1698	74.9843	-88.9156	0.00436576
99	46.747	71.513	-91.6413	0.00445126
100	52.6708	75.6806	-90.1165	0.00440521
101	55.1934	74.2481	-88.2142	0.00434388
102	55.5236	74.9405	-86.8602	0.0043042
103	48.1382	73.1107	-86.8236	0.00430626
104	58.655	74.9482	-86.4229	0.00429175
105	44.557	71.6756	-87.2784	0.00432225
106	39.7683	74.2186	-88.293	0.00435453
107	53.7645	70.2977	-87.8228	0.00434101
108	47.2137	66.1757	-88.1273	0.00435456
109	36.0956	69.9073	-90.0884	0.00441805
110	58.6513	76.9588	-88.5987	0.00437165
111	45.6255	71.5754	-88.8123	0.00438533
112	50.5261	73.0982	-87.9131	0.00435765
113	54.9488	70.4881	-86.4416	0.00431043
114	50.5406	69.3286	-83.3852	0.00421645
115	33.1527	72.2178	-86.9752	0.00432909
116	17.4203	69.3044	-88.9917	0.00439596
117	56.361	74.7286	-87.5088	0.00434791
118	47.4729	75.3625	-84.4297	0.00425231
119	45.9716	75.6766	-83.466	0.00422653
120	49.5277	70.3761	-81.3581	0.00416706
121	43.7354	67.193	-83.2061	0.00422359
122	55.4487	75.718	-81.6219	0.0041774
123	18.3695	69.5374	-83.7209	0.0042415
124	12.5937	70.082	-86.1019	0.00431032
125	55.7991	70.7687	-84.2358	0.00425957
126	15.5816	72.2037	-86.6246	0.00432898
127	47.331	69.6884	-85.1929	0.00428984
128	38.8251	68.8475	-87.1472	0.0043478
129	49.7388	68.0123	-85.7094	0.00430832
130	40.9883	69.471	-87.6698	0.00436679
131	49.3729	68.8555	-86.2258	0.00432696
132	37.1168	68.6981	-88.1924	0.00438594
133	54.6537	68.9821	-85.9201	0.00432302
134	42.7466	69.5741	-85.2984	0.00430346
135	42.7073	68.1339	-85.0743	0.0042906
136	49.7093	67.9131	-84.6882	0.00427551
137	56.2639	71.4445	-83.2297	0.00423805
138	27.88	70.7045	-85.1959	0.00429386
139	38.7298	65.0767	-86.0934	0.00432773
140	49.6341	71.4432	-84.3735	0.00427986
141	35.5985	67.688	-85.5002	0.00431617
142	3.2967	65.9294	-87.3407	0.00437883
143	51.5171	67.9918	-86.0056	0.00433488
144	30.4365	70.8355	-87.8513	0.00439809
145	48.6805	68.7797	-86.5111	0.00435375
146	42.22	70.0034	-85.8808	0.00433553
147	37.4389	67.1296	-86.33	0.00435356
148	46.9616	68.326	-85.3758	0.00432912
149	50.4277	68.8214	-84.8409	0.00431151
150	44.8539	69.147	-83.8553	0.00428534
151	41.7927	69.4579	-82.7774	0.00424341
152	49.7912	68.8231	-82.3251	0.00422284
153	28.9703	66.1831	-83.2652	0.00426149
154	40.876	67.5692	-81.9967	0.00421876
155	31.2913	68.715	-83.5005	0.00427181
156	26.2746	65.9964	-84.443	0.00431323
157	35.0345	67.3427	-84.799	0.00432682
158	43.5266	67.3587	-84.4539	0.00431582
159	50.0802	68.6092	-84.2886	0.0043027
160	44.5277	66.2211	-83.3686	0.00427072
161	33.8706	64.3784	-84.6044	0.00431583
162	41.3187	67.5387	-82.5754	0.00425106
163	42.7938	68.1745	-81.2238	0.00419729
164	38.5599	64.83	-81.5764	0.00420288
165	29.3088	67.4693	-83.1758	0.00426456
166	40.358	66.7517	-82.1079	0.00422238
167	49.0169	65.4973	-81.2023	0.00419273
168	41.1858	68.4871	-80.7042	0.00417595
169	44.003	62.3768	-80.3752	0.00416479
170	37.6482	66.777	-80.1171	0.00415641
171	43.0388	64.4804	-79.6873	0.00414059
172	44.1765	68.5453	-78.5956	0.0041099
173	35.0271	64.0191	-79.1133	0.00412901
174	43.9586	66.381	-78.3454	0.00410443
175	44.1008	64.1719	-76.3629	0.00403953
176	46.4935	67.5455	-75.8157	0.00402655
177	31.1587	60.5769	-76.678	0.00405256
