Step	Best	Median	Predicted	Progress
0	69.5194	90.748	0	0
1	65.3072	91.4097	-2040.81	0.0644989
2	74.0106	89.4195	1196.79	-0.0308084
3	66.113	88.6993	-115.888	0.00541612
4	62.673	87.7498	-793.138	0.0262356
5	67.7589	87.4383	-503.906	0.0171751
6	65.0264	88.4778	-309.397	0.0111938
7	62.125	86.5776	-406.105	0.0143195
8	60.7585	87.5384	-544.954	0.0186377
9	51.3831	86.2164	-624.601	0.0213121
10	8.94898	84.3942	-882.892	0.0304688
11	62.8292	86.589	-627.334	0.0217762
12	60.7462	85.9306	-549.8	0.0193594
13	15.1738	79.5453	-630.067	0.0222609
14	60.6276	83.0394	-552.223	0.0197416
15	67.0172	82.9673	-445.369	0.0162967
16	23.0949	79.9824	-554.646	0.0201391
17	43.104	85.7913	-635.533	0.0232982
18	0.613931	82.9413	-790.591	0.0299376
19	0.677194	78.8538	-944.152	0.0361183
