Step	Best	Median	Predicted	Progress
0	88.0365	95.7403	0	0
1	90.0347	95.2982	1089.14	-0.0221938
2	87.5082	95.5081	-44.5604	0.00301388
3	81.1568	94.3462	-1180.18	0.0295165
4	88.2642	93.5862	-612.939	0.0160731
5	83.7407	94.1445	-544.169	0.0145598
6	89.0088	94.093	-164.806	0.0057704
7	85.2928	93.4555	-91.1525	0.00407796
8	88.4793	92.9297	66.9273	0.000473008
9	87.1817	92.403	77.3102	0.000234859
10	87.7326	92.918	79.0302	0.000198209
11	87.6859	92.5803	71.7526	0.000362758
12	82.7613	92.2805	51.7823	0.00080854
13	88.3968	92.0723	71.6889	0.00036289
14	82.1615	92.9486	51.6407	0.000809195
15	84.2664	91.5355	30.6185	0.00127997
16	48.6046	91.7384	-37.521	0.00283045
17	81.8971	90.4015	-48.5093	0.00308203
18	66.4263	90.2194	-63.1017	0.00342104
19	63.5285	89.957	-103.177	0.00436299
20	79.4982	92.7634	-131.597	0.00504074
21	62.6754	89.7317	-175.379	0.00606045
22	81.7485	89.84	-147.359	0.00542248
23	68.8709	90.306	-176.396	0.00609741
24	70.2198	89.276	-198.958	0.00664207
25	83.7284	89.7672	-177.412	0.00613481
26	79.5892	88.868	-167.092	0.00589522
27	76.924	89.9733	-171.705	0.00598736
28	66.7062	88.5745	-194.706	0.00654532
29	82.7926	88.5421	-172.698	0.00602343
30	70.4363	87.5724	-195.786	0.00658845
31	69.1961	86.4934	-219.016	0.00718343
32	79.5553	88.2295	-199.984	0.00670522
33	72.3	86.9929	-202.272	0.00677119
34	69.9879	87.3742	-215.097	0.00710704
35	68.34	86.211	-234.831	0.00763152
36	65.8695	85.0936	-238.349	0.00773586
37	74.8971	87.31	-231.162	0.00756454
38	73.4274	85.7183	-205.859	0.00690848
39	69.4814	86.9963	-187.606	0.00649304
40	72.6882	85.5979	-181.183	0.00634484
41	71.6203	86.6061	-177.528	0.00625239
42	65.709	85.787	-182.184	0.00638536
43	70.2306	86.4179	-178.514	0.00629173
44	70.5112	85.3815	-166.136	0.0059848
45	60.5771	86.1987	-179.5	0.00633157
46	66.7114	84.3031	-179.807	0.00633866
47	71.2013	84.9567	-174.521	0.00622012
48	69.7888	84.2986	-162.747	0.00592505
49	68.1681	83.177	-150.053	0.00559607
50	70.3945	86.1567	-143.959	0.00544436
51	68.2679	82.4134	-142.489	0.00541115
52	63.5513	82.1651	-144.008	0.00545383
53	69.0443	83.6524	-143.1	0.00543493
54	63.3464	85.2922	-144.85	0.00548373
55	68.7026	83.9847	-143.937	0.00546463
56	64.9569	82.4482	-143.202	0.00544879
57	64.2044	80.3435	-144.548	0.00548857
58	71.5186	81.7303	-142.147	0.00543088
59	66.4101	81.853	-138.517	0.00533923
60	62.3124	80.9311	-143.035	0.00546224
61	68.5787	82.1708	-137.857	0.00532783
62	72.0064	81.1535	-136.148	0.00528555
63	63.5753	80.2772	-135.529	0.00527264
64	62.2315	81.3771	-135.869	0.00528649
65	61.7162	82.3189	-137.534	0.0053341
66	62.0489	80.8293	-135.89	0.00529586
67	63.3719	78.057	-133.506	0.00523948
68	64.3146	78.0072	-132.151	0.00521121
69	62.4514	78.47	-130.649	0.0051695
70	62.5065	78.8469	-130.52	0.0051662
71	67.8374	80.646	-128.918	0.00513043
72	62.8224	81.0386	-126.25	0.00506384
73	63.8233	77.7238	-121.933	0.00494925
74	56.7218	76.7471	-126.997	0.00508961
75	56.2386	78.9881	-128.4	0.0051309
76	65.4836	78.5288	-126.954	0.00509398
77	65.0189	79.0283	-119.961	0.00491079
78	63.4595	78.0205	-114.815	0.00478324
79	56.8132	77.1979	-120.122	0.00492077
80	56.9636	75.601	-119.825	0.00491665
81	66.6871	80.8067	-117.309	0.00485612
82	62.5273	78.5795	-109.853	0.00466901
83	64.7549	74.8622	-108.752	0.00464167
84	53.3558	76.9356	-110.526	0.00469092
85	50.72	79.5718	-113.904	0.00477989
86	63.6029	77.4836	-111.199	0.00471302
87	64.7032	75.1802	-110.088	0.00468516
88	55.3652	74.0004	-110.25	0.00469356
89	57.5431	77.2484	-108.968	0.00465941
90	57.0856	79.7793	-109.43	0.00467247
91	55.3577	75.4508	-108.872	0.00466125
92	55.6572	73.1096	-107.6	0.00463052
93	57.2751	78.179	-105.887	0.00458794
94	54.6113	77.006	-106.078	0.00459808
95	63.5877	78.0791	-103.179	0.00451765
96	63.4235	75.7797	-101.202	0.00446455
97	64.0895	80.0934	-100.262	0.00444118
98	68.2388	74.117	-97.3996	0.00437173
99	62.5927	73.9922	-95.1349	0.00431286
100	49.8357	74.7819	-98.0088	0.00439093
101	67.1306	74.8881	-95.7349	0.00433155
102	57.4583	74.0414	-94.3484	0.0042926
103	58.5964	76.6465	-91.8834	0.00422866
104	58.5756	75.9952	-88.8343	0.0041526
105	60.0382	74.3682	-87.9901	0.00412793
106	63.8073	74.7374	-83.7681	0.00401029
107	61.589	76.4074	-81.691	0.00395468
108	59.6618	77.4761	-80.6447	0.00392521
109	67.2904	78.2745	-79.8289	0.0039038
110	62.3731	76.9883	-78.1184	0.00385797
111	65.0898	73.0603	-74.1412	0.00375169
112	62.4424	73.6044	-70.5772	0.00365345
113	63.5579	74.222	-67.6295	0.00357424
114	60.2668	73.8404	-65.6505	0.00352172
115	52.3603	73.6543	-65.5045	0.00352131
116	59.4368	76.4707	-63.6769	0.00347174
117	58.108	78.294	-61.5637	0.00341431
118	64.9603	79.231	-57.5389	0.00329991
119	66.1662	79.3069	-56.0828	0.00326078
120	57.5934	74.5615	-53.0915	0.00318299
121	60.7563	73.5516	-48.5131	0.00306329
122	57.1268	75.0443	-45.7398	0.00298315
123	62.9658	79.3498	-42.9679	0.00290882
124	57.8892	74.4711	-39.9477	0.00282732
125	53.4304	76.1932	-40.5113	0.0028425
126	60.6469	74.7242	-39.0366	0.0028009
127	53.4516	73.7658	-38.0507	0.00277606
128	33.8796	73.9484	-39.6826	0.00281955
129	57.9133	78.4865	-38.426	0.00278379
130	63.581	75.5414	-37.1568	0.00274878
131	60.8579	74.3114	-34.3602	0.00267545
132	63.4141	73.969	-30.6234	0.00257888
133	65.4183	74.6062	-29.893	0.00255913
134	61.6976	73.3337	-29.267	0.00254105
135	62.6786	76.2455	-28.7545	0.00252596
136	62.7688	74.7355	-27.6444	0.00249493
137	61.5906	73.8367	-26.9086	0.00247393
138	55.4414	72.8875	-25.6727	0.00243923
139	58.7618	75.8997	-24.426	0.00240418
140	59.8485	74.3114	-23.7052	0.00238328
141	66.9319	76.4854	-19.5922	0.00227261
142	60.9311	75.4111	-17.1204	0.00220522
143	52.8434	75.8315	-17.2731	0.00220787
144	53.4078	76.5147	-18.0775	0.00222782
145	52.2657	77.4106	-18.0123	0.0022248
146	61.0178	74.6828	-16.1812	0.00217467
147	54.918	73.4291	-16.4541	0.00218098
148	62.3294	73.6188	-16.169	0.00217143
149	62.4734	76.1463	-13.9812	0.0021122
150	53.2431	74.8644	-14.0434	0.0021126
151	58.5085	73.8452	-12.4046	0.00206743
152	57.5895	73.7672	-11.7007	0.00204742
153	55.6779	74.7562	-11.062	0.00202902
