	parameter_value	mae_joints	std_joints	mae_param	std_param
0	2	8.0	0.0	0.0023817403943777794	0.02388796132047283
1	3	11.0	0.0	0.002383264126478307	0.03325243092658853
2	4	9.0	0.0	0.008398928064576207	0.032289016291519125
3	5	8.0	0.0	0.0023817403943777794	0.02388796132047283
4	6	8.0	0.0	0.006598153474793264	0.025993531635080575
